=== bebygdSamferdsel ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
30 | snaumarkMiddelsFrisk                    | IdrettsOmr               | Alpinanlegg              | blokkmark        | 1
31 | snaumarkMiddelsFrisk                    | IdrettsOmr               | Alpinanlegg              | fjellIDagen      | 5
32 | snaumarkMiddelsFrisk                    | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 45
33 | snaumarkMiddelsFrisk                    | IdrettsOmr               | Alpinanlegg              | jorddekt         | 50
34 | snaumarkMiddelsFrisk                    | IdrettsOmr               | Golfanlegg               | jorddekt         | 13
35 | snaumarkMiddelsFrisk                    | TransportTelek           | LufthavnOmr              | jorddekt         | 2
36 | snaumarkMiddelsFrisk                    | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 292
37 | snaumarkMiddelsFrisk                    | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 1260
38 | snaumarkMiddelsFrisk                    | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 9499
39 | snaumarkMiddelsFrisk                    | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 6526
40 | snaumarkSkrinn                          | IdrettsOmr               | Alpinanlegg              | fjellIDagen      | 11
41 | snaumarkSkrinn                          | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 23
42 | snaumarkSkrinn                          | IdrettsOmr               | Alpinanlegg              | jorddekt         | 33
43 | snaumarkSkrinn                          | IdrettsOmr               | Golfanlegg               | jorddekt         | 6
44 | snaumarkSkrinn                          | TransportTelek           | LufthavnOmr              | jorddekt         | 2
45 | snaumarkSkrinn                          | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 241
46 | snaumarkSkrinn                          | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 566
47 | snaumarkSkrinn                          | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 6241
48 | snaumarkSkrinn                          | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 2727
49 | snaumarkUspesifisert                    | GroenneOmr               | GravUrnelund             | jorddekt         | 3
50 | snaumarkUspesifisert                    | GroenneOmr               | Lekeplass                | jorddekt         | 66
51 | snaumarkUspesifisert                    | GroenneOmr               | Park                     | jorddekt         | 73
52 | snaumarkUspesifisert                    | IdrettsOmr               | Alpinanlegg              | blokkmark        | 2
53 | snaumarkUspesifisert                    | IdrettsOmr               | Alpinanlegg              | fjellIDagen      | 4
54 | snaumarkUspesifisert                    | IdrettsOmr               | Alpinanlegg              | grunnlendt       | 25
55 | snaumarkUspesifisert                    | IdrettsOmr               | Alpinanlegg              | ikkeRegistrert   | 5
56 | snaumarkUspesifisert                    | IdrettsOmr               | Alpinanlegg              | jorddekt         | 141
57 | snaumarkUspesifisert                    | IdrettsOmr               | Golfanlegg               | jorddekt         | 101
58 | snaumarkUspesifisert                    | IdrettsOmr               | Skytebane                | grunnlendt       | 1
59 | snaumarkUspesifisert                    | IdrettsOmr               | Skytebane                | jorddekt         | 30
60 | snaumarkUspesifisert                    | TransportTelek           | LufthavnOmr              | jorddekt         | 9
61 | snaumarkUspesifisert                    | ikkeRegistrert           | ikkeRegistrert           | blokkmark        | 1781
62 | snaumarkUspesifisert                    | ikkeRegistrert           | ikkeRegistrert           | fjellIDagen      | 3414
63 | snaumarkUspesifisert                    | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 7659
64 | snaumarkUspesifisert                    | ikkeRegistrert           | ikkeRegistrert           | ikkeRegistrert   | 10076
65 | snaumarkUspesifisert                    | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 30778
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------

=== snoIsbre ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
---+-----------------------------------------+--------------------------+--------------------------+------------------+-------
 1 | snoIsbre                                | ikkeRegistrert           | ikkeRegistrert           | ikkeRelevant     | 56
