=== bebygdSamferdsel ===
Nr | arealdekkeNiva2                         | arealbrukLandHovedklasse | arealbrukLandUnderklasse | grunnforhold     | Count
 7 | jordbrukFulldyrka                       | IdrettsOmr               | Alpinanlegg              | jorddekt         | 16
 8 | jordbrukFulldyrka                       | IdrettsOmr               | Golfanlegg               | jorddekt         | 13
 9 | jordbrukFulldyrka                       | IdrettsOmr               | IdrettsBygning           | jorddekt         | 2
10 | jordbrukFulldyrka                       | IdrettsOmr               | Skytebane                | jorddekt         | 1
11 | jordbrukFulldyrka                       | KulturReligion           | KinoTeaterMm             | jorddekt         | 1
12 | jordbrukFulldyrka                       | LandbrukFiske            | FiskeBeb                 | jorddekt         | 3
13 | jordbrukFulldyrka                       | LandbrukFiske            | TunOmr                   | jorddekt         | 389
14 | jordbrukFulldyrka                       | LandbrukFiske            | TunOmr                   | organiskeJordlag | 5
15 | jordbrukFulldyrka                       | LandbrukFiske            | UtmarksBeb               | jorddekt         | 1
16 | jordbrukFulldyrka                       | NaeringTjeneste          | Bergverk                 | jorddekt         | 38
17 | jordbrukFulldyrka                       | NaeringTjeneste          | KontorForretning         | jorddekt         | 1
18 | jordbrukFulldyrka                       | NaeringTjeneste          | OvernattingMm            | jorddekt         | 18
19 | jordbrukFulldyrka                       | TeknInfrastr             | VannAvlRenov             | jorddekt         | 1
20 | jordbrukFulldyrka                       | TransportTelek           | LufthavnOmr              | jorddekt         | 1
21 | jordbrukFulldyrka                       | UklassifisertBeb         | UklassifisertBeb         | jorddekt         | 3
22 | jordbrukFulldyrka                       | UndervisnBhage           | BarneUngdSkole           | jorddekt         | 1
23 | jordbrukFulldyrka                       | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 18691
24 | jordbrukFulldyrka                       | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 947
25 | jordbrukInnmarksbeiteApen               | Boligbebyggelse          | FrittliggSmaahus         | jorddekt         | 6
26 | jordbrukInnmarksbeiteApen               | Fritidsbebyggelse        | FritidsBeb               | jorddekt         | 11
27 | jordbrukInnmarksbeiteApen               | GroenneOmr               | Lekeplass                | grunnlendt       | 1
28 | jordbrukInnmarksbeiteApen               | GroenneOmr               | Lekeplass                | jorddekt         | 7
29 | jordbrukInnmarksbeiteApen               | GroenneOmr               | Park                     | grunnlendt       | 1
30 | jordbrukInnmarksbeiteApen               | IdrettsOmr               | Alpinanlegg              | jorddekt         | 24
31 | jordbrukInnmarksbeiteApen               | IdrettsOmr               | Golfanlegg               | jorddekt         | 1
32 | jordbrukInnmarksbeiteApen               | KulturReligion           | MuseerBibliotek          | jorddekt         | 2
33 | jordbrukInnmarksbeiteApen               | LandbrukFiske            | FiskeBeb                 | jorddekt         | 2
34 | jordbrukInnmarksbeiteApen               | LandbrukFiske            | FiskeBeb                 | organiskeJordlag | 1
35 | jordbrukInnmarksbeiteApen               | LandbrukFiske            | TunOmr                   | grunnlendt       | 7
36 | jordbrukInnmarksbeiteApen               | LandbrukFiske            | TunOmr                   | jorddekt         | 245
37 | jordbrukInnmarksbeiteApen               | LandbrukFiske            | TunOmr                   | organiskeJordlag | 2
38 | jordbrukInnmarksbeiteApen               | LandbrukFiske            | UtmarksBeb               | jorddekt         | 14
39 | jordbrukInnmarksbeiteApen               | NaeringTjeneste          | Bergverk                 | jorddekt         | 6
40 | jordbrukInnmarksbeiteApen               | NaeringTjeneste          | OvernattingMm            | jorddekt         | 6
41 | jordbrukInnmarksbeiteApen               | TeknInfrastr             | VannAvlRenov             | jorddekt         | 1
42 | jordbrukInnmarksbeiteApen               | UklassifisertBeb         | UklassifisertBeb         | jorddekt         | 6
43 | jordbrukInnmarksbeiteApen               | UndervisnBhage           | AnnetUndervisn           | jorddekt         | 1
44 | jordbrukInnmarksbeiteApen               | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 376
45 | jordbrukInnmarksbeiteApen               | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 8344
46 | jordbrukInnmarksbeiteApen               | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 211
47 | jordbrukInnmarksbeiteTresattBarblanding | IdrettsOmr               | Alpinanlegg              | jorddekt         | 1
48 | jordbrukInnmarksbeiteTresattBarblanding | LandbrukFiske            | TunOmr                   | jorddekt         | 2
49 | jordbrukInnmarksbeiteTresattBarblanding | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 21
50 | jordbrukInnmarksbeiteTresattBarblanding | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 506
51 | jordbrukInnmarksbeiteTresattBarblanding | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 4
52 | jordbrukInnmarksbeiteTresattBlanding    | LandbrukFiske            | TunOmr                   | jorddekt         | 1
53 | jordbrukInnmarksbeiteTresattBlanding    | NaeringTjeneste          | Bergverk                 | jorddekt         | 1
54 | jordbrukInnmarksbeiteTresattBlanding    | ikkeRegistrert           | ikkeRegistrert           | grunnlendt       | 31
55 | jordbrukInnmarksbeiteTresattBlanding    | ikkeRegistrert           | ikkeRegistrert           | jorddekt         | 701
56 | jordbrukInnmarksbeiteTresattBlanding    | ikkeRegistrert           | ikkeRegistrert           | organiskeJordlag | 2
57 | jordbrukInnmarksbeiteTresattFuru        | Boligbebyggelse          | FrittliggSmaahus         | jorddekt         | 1
58 | jordbrukInnmarksbeiteTresattFuru        | Fritidsbebyggelse        | FritidsBeb               | jorddekt         | 1
59 | jordbrukInnmarksbeiteTresattFuru        | GroenneOmr               | Lekeplass                | grunnlendt       | 2
60 | jordbrukInnmarksbeiteTresattFuru        | LandbrukFiske            | TunOmr                   | jorddekt         | 2
61 | jordbrukInnmarksbeiteTresattFuru        | NaeringTjeneste          | OvernattingMm            | jorddekt         | 2
