arealdekkeniva2,arealbruklandhovedklasse,arealbruklandunderklasse,grunnforhold,ny_arealdekke,fremkommelighet
myrApen,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Myr
myrApen,IdrettsOmr,Golfanlegg,*,Golfbane,Myr
myrApen,IdrettsOmr,*,*,IdrettsOmr,Myr
myrApen,*,*,*,Myr,None
myrTresatt*,GroenneOmr,GravUrnelund,*,GravUrnelund,Myr
myrTresatt*,GroenneOmr,Lekeplass,*,Skog,Myr
myrTresatt*,GroenneOmr,*,*,Skog,Myr
myrTresatt*,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Myr
myrTresatt*,IdrettsOmr,Golfanlegg,*,Golfbane,Myr
myrTresatt*,IdrettsOmr,*,*,IdrettsOmr,Myr
myrTresatt*,*,*,*,Skog,Myr
samferdsel,TransportTelek,Bane,*,Bane,None
samferdsel,TransportTelek,LufthavnOmr,*,LufthavnOmr,None
samferdsel,TransportTelek,Parkering,*,Parkering,None
samferdsel,TransportTelek,*,*,Samferdsel,None
samferdsel,Beredskap,*,*,Bebygd,None
samferdsel,Boligbebyggelse,StoreBoligbygg,*,Høyblokkbebyggelse,None
samferdsel,Boligbebyggelse,*,*,Bebygd,None
samferdsel,Fritidsbebyggelse,*,*,Bebygd,None
samferdsel,HelseSosial,*,*,Bebygd,None
samferdsel,KulturReligion,*,*,Bebygd,None
samferdsel,LandbrukFiske,*,*,Bebygd,None
samferdsel,TeknInfrastr,*,*,TeknInfrastr,None
samferdsel,UndervisnBhage,*,*,Bebygd,None
samferdsel,GroenneOmr,GravUrnelund,*,GravUrnelund,None
samferdsel,GroenneOmr,Lekeplass,*,Snaumark,None
samferdsel,GroenneOmr,*,*,Park,None
samferdsel,IdrettsOmr,Alpinanlegg,*,Alpinbakke,None
samferdsel,IdrettsOmr,Golfanlegg,*,Golfbane,None
samferdsel,IdrettsOmr,*,*,IdrettsOmr,None
samferdsel,NaeringTjeneste,Bergverk,*,Bergverk,None
samferdsel,NaeringTjeneste,Industri,*,Industri,None
samferdsel,NaeringTjeneste,*,*,Bebygd,None
samferdsel,*,*,*,Samferdsel,None
skog*,GroenneOmr,GravUrnelund,*,GravUrnelund,Skog
skog*,GroenneOmr,Lekeplass,Fjell_i_dagen,Skog,Fjell_i_dagen
skog*,GroenneOmr,Lekeplass,*,Skog,None
skog*,GroenneOmr,*,*,Skog,None
skog*,IdrettsOmr,Alpinanlegg,Blokkmark,Alpinbakke,Blokkmark
skog*,IdrettsOmr,Alpinanlegg,Fjell_i_dagen,Alpinbakke,Fjell_i_dagen
skog*,IdrettsOmr,Alpinanlegg,*,Alpinbakke,Skog
skog*,IdrettsOmr,Golfanlegg,Fjell_i_dagen,Golfbane,Fjell_i_dagen
skog*,IdrettsOmr,Golfanlegg,*,Golfbane,Skog
skog*,IdrettsOmr,*,Fjell_i_dagen,IdrettsOmr,Fjell_i_dagen
skog*,IdrettsOmr,*,*,IdrettsOmr,Skog
skog*,*,*,Blokkmark,Skog,Blokkmark
skog*,*,*,Fjell_i_dagen,Skog,Fjell_i_dagen
skog*,*,*,*,Skog,None
snaumarkFrisk,GroenneOmr,GravUrnelund,Fjell_i_dagen,GravUrnelund,Fjell_i_dagen
